Date,Open,High,Low,Close,Adj Close,Volume
11/05/2000,110.25,110.25,98,7.1875,100.625,11600
12/05/2000,98,105,96.25,7.3125,102.375,7400
15/05/2000,109.375,112,98.4375,7.875,110.25,11700
16/05/2000,112,112,101.5,7.5,105,11000
17/05/2000,105,105,91.875,7,98,20000
18/05/2000,94.5,98,91.875,6.75,94.5,10200
19/05/2000,91.875,94.5,85.75,6.375,89.25,11000
22/05/2000,90.125,90.125,77,6.25,87.5,18300
23/05/2000,87.5,87.5,75.25,5.375,75.25,13300
24/05/2000,76.125,80.5,63,5.125,71.75,21100
25/05/2000,71.75,96.25,71.75,6.25,87.5,39400
26/05/2000,87.5,94.5,84,6.1875,86.625,8700
30/05/2000,87.0625,91,84.4375,6.125,85.75,7000
31/05/2000,85.75,91,77,5.6875,79.625,11500
01/06/2000,75.6875,87.5,70.875,5.984375,83.78125,19700
02/06/2000,86.625,96.25,84.875,6.75,94.5,15100
05/06/2000,98,98,92.75,6.65625,93.1875,8900
06/06/2000,91.875,101.5,89.25,6.75,94.5,13800
07/06/2000,98.4375,101.5,96.25,6.9375,97.125,9600
08/06/2000,99.75,123.375,97.125,8.6875,121.625,32600
09/06/2000,125.5625,150.5,121.625,10.5625,147.875,71500
12/06/2000,151.375,152.25,136.5,10.1875,142.625,37800
13/06/2000,141.75,149.625,122.5,10.625,148.75,31400
14/06/2000,149.625,161,140.875,10.5,147,26800
15/06/2000,147,154,142.625,10.4375,146.125,14800
16/06/2000,142.625,150.5,140,10.375,145.25,14500
19/06/2000,141.75,144.375,137.375,10.3125,144.375,14600
20/06/2000,143.5,174.125,143.5,11.687501,163.625,87000
21/06/2000,161,165.375,149.625,10.875001,152.25,27000
22/06/2000,142.625,154,142.625,10.5,147,15300
23/06/2000,175.21875,189.875,164.5,13.000001,182,207600
26/06/2000,195.125,203,187.25,14.000001,196,145100
27/06/2000,195.125,199.5,188.125,14.250001,199.5,60200
28/06/2000,200.375,234.5,199.5,15.687501,219.625,119300
29/06/2000,224,224.875,194.25,15.937501,223.125,49400
30/06/2000,225.3125,225.75,199.5,15.312501,214.375,31100
03/07/2000,216.125,217,203,14.562501,203.875,11700
05/07/2000,197.75,202.125,168,12.250001,171.5,60500
06/07/2000,169.75,173.25,154,12.000001,168,56600
07/07/2000,175.875,194.25,155.75,13.000001,182,70500
10/07/2000,186.375,187.25,168.875,12.062501,168.875,19700
11/07/2000,169.75,178.5,168.875,12.312501,172.375,14300
12/07/2000,188.125,196,182.875,13.375001,187.25,31900
13/07/2000,190.3125,194.25,176.75,13.187501,184.625,25100
14/07/2000,183.75,203,182,14.375001,201.25,36000
17/07/2000,205.625,213.5,197.75,14.125001,197.75,34100
18/07/2000,200.8125,203,182,13.375001,187.25,11500
19/07/2000,182,196,176.75,13.750001,192.5,17800
20/07/2000,192.5,203,184.625,13.812501,193.375,42900
21/07/2000,192.5,192.5,182,13.375001,187.25,11500
24/07/2000,182.875,187.25,175,12.625001,176.75,15600
25/07/2000,175.875,178.5,147.875,10.937501,153.125,48600
26/07/2000,153.125,154.875,140,10.375,145.25,27800
27/07/2000,144.375,146.125,131.25,9.75,136.5,30100
28/07/2000,134.75,136.5,119,8.75,122.5,31600
31/07/2000,126.875,135.625,105.875,8.125,113.75,71000
01/08/2000,115.9375,118.125,100.625,7.5625,105.875,47100
02/08/2000,109.8125,117.25,99.75,7.1875,100.625,51400
03/08/2000,98.875,105,96.25,7.0625,98.875,32200
04/08/2000,105.875,118.5625,105,8.125,113.75,38200
07/08/2000,119.875,145.25,118.125,9.9375,139.125,46700
08/08/2000,143.5,154,134.75,9.75,136.5,37800
09/08/2000,138.25,140.875,127.75,9.375,131.25,21900
10/08/2000,128.625,133,117.25,8.5,119,20000
11/08/2000,115.9375,125.125,113.3125,8.75,122.5,16100
14/08/2000,119.875,127.75,119,9.0625,126.875,9800
15/08/2000,128.1875,134.75,126.875,9.5625,133.875,7700
16/08/2000,134.96875,136.0625,118.5625,9,126,9900
17/08/2000,122.5,126,121.625,8.8125,123.375,4600
18/08/2000,119.875,131.25,117.90625,9.0625,126.875,7500
21/08/2000,124.25,131.25,122.5,9.03125,126.4375,7800
22/08/2000,128.625,128.625,122.5,9,126,7700
23/08/2000,126,126,119.875,8.5625,119.875,8200
24/08/2000,118.5625,123.375,118.125,8.4375,118.125,8200
25/08/2000,119,140,119,10,140,28000
28/08/2000,137.8125,139.5625,130.375,9.625,134.75,11800
29/08/2000,130.375,139.125,126.875,9.9375,139.125,13900
30/08/2000,135.1875,139.5625,133,9.75,136.5,4000
31/08/2000,137.375,140,132.125,9.625,134.75,9800
01/09/2000,138.25,138.25,127.75,9.3125,130.375,12200
05/09/2000,127.75,133.875,124.25,9,126,18400
06/09/2000,126,133,121.625,8.75,122.5,19500
07/09/2000,124.25,127.75,122.5,8.75,122.5,10300
08/09/2000,123.8125,125.125,119.875,8.5625,119.875,5000
11/09/2000,122.5,145.25,117.25,10.25,143.5,67500
12/09/2000,151.375,184.625,149.625,11.312501,158.375,361100
13/09/2000,150.5,167.125,140.875,10.125,141.75,99300
14/09/2000,143.5,150.5,131.25,9.6875,135.625,45200
